eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.578437864780426,0.7446808510638298,0.49755799755799757,0.6129629629629629,0.5488665923448531,0.2247,209.152,8.9,1.0,24,,,,,,,,
0.4398552477359772,0.8085106382978723,0.7545454545454545,0.724074074074074,0.7251461988304094,0.2276,206.504,8.787,2.0,48,,,,,,,,
,,,,,,,,2.0833333333333335,50,0.6048,5.708995342254639,1.5916666666666666e-05,,,,,
0.4783371090888977,0.8085106382978723,0.7685185185185185,0.762962962962963,0.7641325536062378,0.2492,188.614,8.026,3.0,72,,,,,,,,
0.5697060227394104,0.7446808510638298,0.6457326892109502,0.65,0.6427217915590009,0.1826,257.331,10.95,4.0,96,,,,,,,,
,,,,,,,,4.166666666666667,100,0.237,10.341636657714844,1.1750000000000001e-05,,,,,
0.6506000757217407,0.8297872340425532,0.7955874534821903,0.762962962962963,0.7688034188034187,0.1843,254.997,10.851,5.0,120,,,,,,,,
0.6728699207305908,0.8297872340425532,0.7955874534821903,0.762962962962963,0.7688034188034187,0.1835,256.082,10.897,6.0,144,,,,,,,,
,,,,,,,,6.25,150,0.0605,8.448575019836426,7.583333333333333e-06,,,,,
0.7405039072036743,0.851063829787234,0.829004329004329,0.7999999999999999,0.8074561403508772,0.1883,249.663,10.624,7.0,168,,,,,,,,
0.7700368165969849,0.851063829787234,0.829004329004329,0.7999999999999999,0.8074561403508772,0.1913,245.695,10.455,8.0,192,,,,,,,,
,,,,,,,,8.333333333333334,200,0.0147,0.46015554666519165,3.416666666666667e-06,,,,,
0.8337488174438477,0.851063829787234,0.829004329004329,0.7999999999999999,0.8074561403508772,0.1877,250.461,10.658,9.0,216,,,,,,,,
0.8236216902732849,0.851063829787234,0.829004329004329,0.7999999999999999,0.8074561403508772,0.1909,246.245,10.479,10.0,240,,,,,,,,
,,,,,,,,10.0,240,,,,178.7963,20.918,1.342,492022091151360.0,0.19187292375912268
1.1896811723709106,0.7872340425531915,0.7454634027524053,0.7298245614035088,0.7346253229974161,0.4415,106.444,4.53,10.0,240,,,,,,,,
0.7405039072036743,0.851063829787234,0.829004329004329,0.7999999999999999,0.8074561403508772,0.2966,158.448,6.742,10.0,240,,,,,,,,
1.1896811723709106,0.7872340425531915,0.7454634027524053,0.7298245614035088,0.7346253229974161,0.3059,153.645,6.538,10.0,240,,,,,,,,
