eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.568193256855011,0.7872340425531915,0.5253623188405797,0.65,0.5802879291251384,0.6509,72.208,3.073,1.0,24,,,,,,,,
0.4738810658454895,0.8723404255319149,0.9076479076479077,0.7981481481481482,0.8140712945590994,0.4649,101.098,4.302,2.0,48,,,,,,,,
,,,,,,,,2.0833333333333335,50,0.6162,4.287071704864502,1.5916666666666666e-05,,,,,
0.5123376846313477,0.851063829787234,0.8322981366459627,0.8018518518518518,0.8073225664689079,0.4704,99.915,4.252,3.0,72,,,,,,,,
0.5282358527183533,0.8297872340425532,0.7876984126984127,0.7796296296296296,0.7827992985812212,0.3652,128.698,5.477,4.0,96,,,,,,,,
,,,,,,,,4.166666666666667,100,0.2291,7.413829803466797,1.1750000000000001e-05,,,,,
0.6763268113136292,0.7872340425531915,0.7248803827751197,0.7074074074074074,0.7076923076923078,0.3562,131.963,5.615,5.0,120,,,,,,,,
0.656586229801178,0.8297872340425532,0.7955165692007796,0.8018518518518518,0.7970602181128497,0.377,124.653,5.304,6.0,144,,,,,,,,
,,,,,,,,6.25,150,0.0601,1.7061307430267334,7.583333333333333e-06,,,,,
0.7564171552658081,0.851063829787234,0.8222222222222223,0.8185185185185184,0.8187134502923975,0.3893,120.74,5.138,7.0,168,,,,,,,,
0.7722499370574951,0.8297872340425532,0.7999999999999999,0.8018518518518518,0.797534376481745,0.3815,123.201,5.243,8.0,192,,,,,,,,
,,,,,,,,8.333333333333334,200,0.0155,0.06552432477474213,3.416666666666667e-06,,,,,
0.7611598372459412,0.8297872340425532,0.7907894736842106,0.7814814814814816,0.7844724934508216,0.377,124.653,5.304,9.0,216,,,,,,,,
0.7763062119483948,0.8297872340425532,0.7907894736842106,0.7814814814814816,0.7844724934508216,0.3797,123.775,5.267,10.0,240,,,,,,,,
,,,,,,,,10.0,240,,,,241.5125,15.486,0.994,982400751228708.0,0.192437871110936
1.0133875608444214,0.8085106382978723,0.7568922305764411,0.7473684210526316,0.7511624589930109,0.4083,115.109,4.898,10.0,240,,,,,,,,
0.7564171552658081,0.851063829787234,0.8222222222222223,0.8185185185185184,0.8187134502923975,0.3486,134.84,5.738,10.0,240,,,,,,,,
1.0133875608444214,0.8085106382978723,0.7568922305764411,0.7473684210526316,0.7511624589930109,0.3687,127.479,5.425,10.0,240,,,,,,,,
