content,content_stemmed_no_common_2,content_regex,content_regex_norm,text_clean,_tokens,tokens_clean,score,sentiment,reviewCreatedVersion,major_version,at,thumbsUpCount
"harus belajar lagi bagaimana cara kau menghadapi kritik, btw makannmu tidak enak.! sorry say no saya tdk. lagi pakai ga lagi untuk bbrp waktu",ajar kau hadap kritik btw makannmu enak sorry sayang no tdk pakai,ajar kau hadap kritik btw makannmu enak sorry sayang no tdk pakai,ajar kau hadap kritik btw makannmu enak sorry sayang no tdk pakai,ajar kau kritik enak sorry sayang no pakai,"['ajar', 'kau', 'hadap', 'kritik', 'btw', 'makannmu', 'enak', 'sorry', 'sayang', 'no', 'tdk', 'pakai']","['ajar', 'kau', 'kritik', 'enak', 'sorry', 'sayang', 'no', 'pakai']",4,positive,6.16.0,6,2025-09-06 00:58:19,0
"maskapai maling, menipu customer dengan informasi palsu, info pada aplikasi tidak ada yang akan expired berapa bulan kedepan, nyatanya miles tiba-tiba sudah terpotong dari beberapa bulan sebelumnya. komplain sampai ber bulan-bulan tidak di response malah jualan perpanjang masa berlaku miles. scam!!! komplotan maling sampai aplikasinya pun dibuat demikian buat menjebak customer, hati-hati sama aplikasi busuk ini.",maskapai maling tipu customer informasi palsu info expired depan miles tibatiba potong komplain ber bulanbulan response jual panjang laku miles scam komplot maling jebak customer hatihati busuk,maskapai maling tipu customer informasi palsu info expired depan miles tibatiba potong komplain ber bulanbulan response jual panjang laku miles scam komplot maling jebak customer hatihati busuk,maskapai maling tipu customer informasi palsu info expired depan miles tibatiba potong komplain ber bulanbulan response jual panjang laku miles scam komplot maling jebak customer hatihati busuk,maskapai maling tipu customer informasi info expired depan miles tibatiba potong komplain ber jual panjang laku miles maling jebak customer busuk,"['maskapai', 'maling', 'tipu', 'customer', 'informasi', 'palsu', 'info', 'expired', 'depan', 'miles', 'tibatiba', 'potong', 'komplain', 'ber', 'bulanbulan', 'response', 'jual', 'panjang', 'laku', 'miles', 'scam', 'komplot', 'maling', 'jebak', 'customer', 'hatihati', 'busuk']","['maskapai', 'maling', 'tipu', 'customer', 'informasi', 'info', 'expired', 'depan', 'miles', 'tibatiba', 'potong', 'komplain', 'ber', 'jual', 'panjang', 'laku', 'miles', 'maling', 'jebak', 'customer', 'busuk']",1,negative,,nan,2025-09-03 09:23:02,1
dulu dpt platinum bs 5-6 tahun g pernah turun... dgn kebijakan skrng malah megap2 bertahan d bronze/silver. kyknya ga usah pake poin2an gff deh. ga ada faedah jg walau sering naik garuda. sama aja ga ada mamfaat yg berguna jg. kantor aja sih yg nyuruh.... padahal g ada faedah lagi poin gff. ini malah hari ini jd blue.... wkwkwkw... anjir dr awal platinum upgrade jd blue🤣🤣🤣🤣,platinum 56 turun bijak megap2 tahan bronzesilver kayak pakai poin2an gff deh faedah mamfaat guna jg kantor sih nyuruh faedah poin gff blue wkwkwkw anjir platinum upgrade blue,platinum turun bijak megap tahan bronzesilver kayak pakai poin an gff deh faedah mamfaat guna jg kantor sih nyuruh faedah poin gff blue wkwkwkw anjir platinum upgrade blue,platinum turun bijak megap tahan bronzesilver kayak pakai poin an gf deh faedah mamfat guna jg kantor sih nyuruh faedah poin gf blue wkwkwkw anjir platinum upgrade blue,platinum turun bijak tahan kayak pakai poin an gf deh faedah guna jg kantor sih faedah poin gf blue anjir platinum upgrade blue,"['platinum', 'turun', 'bijak', 'megap', 'tahan', 'bronzesilver', 'kayak', 'pakai', 'poin', 'an', 'gf', 'deh', 'faedah', 'mamfat', 'guna', 'jg', 'kantor', 'sih', 'nyuruh', 'faedah', 'poin', 'gf', 'blue', 'wkwkwkw', 'anjir', 'platinum', 'upgrade', 'blue']","['platinum', 'turun', 'bijak', 'tahan', 'kayak', 'pakai', 'poin', 'an', 'gf', 'deh', 'faedah', 'guna', 'jg', 'kantor', 'sih', 'faedah', 'poin', 'gf', 'blue', 'anjir', 'platinum', 'upgrade', 'blue']",2,negative,6.17.0,6,2025-08-25 16:38:50,2
sy delay 20 jam dgn penerbangan conecting seharusnya sampai hari ini namun sampai hari berikutnya pd sore hari .. dan gatuda hy memberikn penginpn hotel dan transportasi bandara pp dari hotel.. sementara kerugian akan mkn dan wktu tdk sipertimbgkn dgn kompensasinya.. sbg sky team mhn memikirkn kekecewaan ini tks,delay 20 jam terbang conecting sore gatuda hai memberikn penginpn hotel transportasi bandara pp hotel rugi sipertimbgkn kompensasi sky team mhn memikirkn kecewa tks,delay jam terbang conecting sore gatuda hai memberikn penginpn hotel transportasi bandara pp hotel rugi sipertimbgkn kompensasi sky team mhn memikirkn kecewa tks,delay jam terbang conecting sore gatuda hai memberikn penginpn hotel transportasi bandara p hotel rugi sipertimbgkn kompensasi sky team mhn memikirkn kecewa tks,delay jam terbang sore hai hotel transportasi bandara p hotel rugi kompensasi sky team mhn kecewa tks,"['delay', 'jam', 'terbang', 'conecting', 'sore', 'gatuda', 'hai', 'memberikn', 'penginpn', 'hotel', 'transportasi', 'bandara', 'p', 'hotel', 'rugi', 'sipertimbgkn', 'kompensasi', 'sky', 'team', 'mhn', 'memikirkn', 'kecewa', 'tks']","['delay', 'jam', 'terbang', 'sore', 'hai', 'hotel', 'transportasi', 'bandara', 'p', 'hotel', 'rugi', 'kompensasi', 'sky', 'team', 'mhn', 'kecewa', 'tks']",1,negative,6.17.0,6,2025-08-21 12:06:28,0
sedikit panik setelah check-in boarding tiket cuman bisa dilihat sekali ternyata,panik checkin boarding tiket cuman,panik checkin boarding tiket cuman,panik checkin boarding tiket cuman,checkin boarding tiket cuman,"['panik', 'checkin', 'boarding', 'tiket', 'cuman']","['checkin', 'boarding', 'tiket', 'cuman']",4,positive,6.17.0,6,2025-08-18 05:44:32,0
mengapa aplikasi flygaruda tdk bisa menampilkan hasil penelusuran jadwal penerbangan yg kita cari,flygaruda tampil hasil telusur jadwal terbang cari,flygaruda tampil hasil telusur jadwal terbang cari,flygaruda tampil hasil telusur jadwal terbang cari,flygaruda tampil hasil jadwal terbang cari,"['flygaruda', 'tampil', 'hasil', 'telusur', 'jadwal', 'terbang', 'cari']","['flygaruda', 'tampil', 'hasil', 'jadwal', 'terbang', 'cari']",1,negative,6.17.0,6,2025-08-13 02:33:44,0
"tidak bisa buka akun, masa loadingnya lama sekali akhirnya urung niat mending air asia atau qatar deh. bikin akun aja sulit apalagi yang lain, tidak menarik dan berkualitas",buka akun loadingnya urung niat mending air asia qatar deh bikin akun sulit tarik kualitas,buka akun loadingnya urung niat mending air asia qatar deh bikin akun sulit tarik kualitas,buka akun loadingnya urung niat mending air asia qatar deh bikin akun sulit tarik kualitas,buka akun loadingnya niat mending air asia deh bikin akun sulit tarik kualitas,"['buka', 'akun', 'loadingnya', 'urung', 'niat', 'mending', 'air', 'asia', 'qatar', 'deh', 'bikin', 'akun', 'sulit', 'tarik', 'kualitas']","['buka', 'akun', 'loadingnya', 'niat', 'mending', 'air', 'asia', 'deh', 'bikin', 'akun', 'sulit', 'tarik', 'kualitas']",1,negative,6.17.0,6,2025-08-11 15:41:03,2
on scedule,on scedule,on scedule,on scedule,on,"['on', 'scedule']",['on'],5,positive,6.16.0,6,2025-08-03 00:31:55,0
sudah 2025. aplikasi ini selalu dan pasti gagal download boarding pass. kadang lupa screenshot. email tidak dikirim. dipaksa checkin manual.,2025 gagal download boarding pass kadang lupa screenshot email kirim paksa checkin manual,gagal download boarding pass kadang lupa screenshot email kirim paksa checkin manual,gagal download boarding pas kadang lupa screenshot email kirim paksa checkin manual,gagal download boarding pas kadang lupa email kirim paksa checkin manual,"['gagal', 'download', 'boarding', 'pas', 'kadang', 'lupa', 'screenshot', 'email', 'kirim', 'paksa', 'checkin', 'manual']","['gagal', 'download', 'boarding', 'pas', 'kadang', 'lupa', 'email', 'kirim', 'paksa', 'checkin', 'manual']",1,negative,,nan,2025-07-27 10:32:08,0
ok,ok,ok,ok,ok,['ok'],['ok'],5,positive,,nan,2025-07-23 10:26:54,0
tidak bisa check in online,check online,check online,check online,check online,"['check', 'online']","['check', 'online']",1,negative,6.17.0,6,2025-07-18 16:50:50,0
mau booking aja susah dan tidak bisa diandalkan,booking susah andal,booking susah andal,booking susah andal,booking susah andal,"['booking', 'susah', 'andal']","['booking', 'susah', 'andal']",1,negative,,nan,2025-07-11 05:35:14,0
