link,judul,tanggal,portal
https://kumparan.com/kumparanbisnis/garuda-indonesia-kembali-rupslb-di-tengah-isu-petinggi-singapore-airlines-masuk-25x9SDHX7i5,Garuda Indonesia Kembali RUPSLB di Tengah Isu Petinggi Singapore Airlines Masuk - kumparan.com,2025-09-30,Kumparan
https://www.bloombergtechnoz.com/detail-news/85519/garuda-gelar-rupslb-di-tengah-isu-masuknya-direksi-asing,Garuda Gelar RUPSLB di Tengah Isu Masuknya Direksi Asing,2025-09-29,Bloomberg Technoz
https://voi.id/ekonomi/519004/komisi-v-dpr-bakal-dalami-dugaan-mafia-jual-beli-jam-penerbangan,Komisi V DPR Bakal Dalami Dugaan Mafia Jual Beli Jam Penerbangan,2025-09-29,VOI.ID
https://www.prnewswire.com/news-releases/garuda-indonesia-goes-digital-air-cargo-capacity-now-available-exclusively-on-webcargo-by-freightos-302569410.html,Garuda Indonesia Goes Digital: Air Cargo Capacity Now Available Exclusively on WebCargo by Freightos®,2025-09-29,PR Newswire
https://in.investing.com/news/company-news/garuda-indonesia-adds-air-cargo-capacity-to-webcargo-platform-93CH-5023129,Garuda Indonesia adds air cargo capacity to WebCargo platform,2025-09-29,Investing.com India
https://www.kompasiana.com/zainularifin2714/68da927c34777c0ef3200e93/rencana-merger-garuda-indonesia-pelita-air-efektifkah,Rencana Merger Garuda Indonesia - Pelita Air: Efektifkah? - Kompasiana.com,2025-09-29,Kompasiana.com
https://www.cnnindonesia.com/ekonomi/20250929205715-92-1279029/dony-oskaria-pastikan-merger-pelita-air-garuda-untunge,Dony Oskaria Pastikan Merger Pelita Air-Garuda Untunge,2025-09-29,CNN Indonesia
https://www.stattimes.com/air-cargo/garuda-indonesia-cargo-goes-digital-with-webcargo-ebooking-1356645,Garuda Indonesia Cargo goes digital with WebCargo eBooking,2025-09-29,STAT Times
https://jambi.pikiran-rakyat.com/info-data/pr-3469681375/jadwal-kedatangan-pesawat-di-bandara-sultan-thaha-jambi?page=all,Jadwal Kedatangan Pesawat di Bandara Sultan Thaha Jambi - Jambian,2025-09-29,Jambian
https://voi.id/en/economy/519004,Commission V DPR Will Investigate Allegations Of Mafia Buying And Selling Aviation Hours,2025-09-29,VOI.ID
https://www.idntimes.com/business/economy/danantara-janji-layanan-pelita-tak-menurun-usai-merger-dengan-garuda-00-3m8tp-gl0jb6,Danantara Janji Layanan Pelita Tak Menurun usai Merger dengan Garuda,2025-09-29,IDN Times
https://id.headtopics.com/news/garuda-spark-innovation-hub-dinilai-bantu-kembangkan-start-73612181,Garuda Spark Innovation Hub dinilai bantu kembangkan start up digital,2025-09-28,Head Topics
https://www.beritasatu.com/network/malukuterkini/685642/sempat-dialihkan-ke-sorong-garuda-akhirnya-mendarat-di-ambon,"Sempat Dialihkan ke Sorong, Garuda Akhirnya Mendarat di Ambon",2025-09-28,BeritaSatu.com
https://jambi.pikiran-rakyat.com/info-data/pr-3469679005/12-penerbangan-tiba-di-bandara-sultan-thaha-jambi-minggu-28-september-2025?page=all,"12 Penerbangan Tiba di Bandara Sultan Thaha Jambi, Minggu 28 September 2025 - Jambian",2025-09-28,Jambian
https://garuda.tv/dian-sastro-dihadiahi-rentetan-pantun-di-dalam-pesawat/,Dian Sastro Dihadiahi Rentetan Pantun di dalam Pesawat,2025-09-28,garuda tv
https://jagatbisnis.com/2025/09/27/garuda-indonesia-pacu-ekspansi-armada-dan-rute-targetkan-lebih-dari-100-pesawat-pada-2029/,"Garuda Indonesia Pacu Ekspansi Armada dan Rute, Targetkan Lebih dari 100 Pesawat pada 2029",2025-09-27,JagatBisnis.com
https://www.travelandtourworld.com/news/article/japan-airlines-myanmar-national-airlines-and-garuda-indonesia-experiences-new-travel-disruption-with-eight-cancellations-across-tokyo-yangon-dehong-jakarta-and-more-here-is-the-update/,"Japan Airlines, Myanmar National Airlines and Garuda Indonesia Experiences New Travel Disruption with Eight Cancellations across Tokyo, Yangon, Dehong, Jakarta and more, Here is the Update",2025-09-27,Travel And Tour World
https://www.idntimes.com/business/economy/garuda-indonesia-rugi-rp2-4-triliun-di-semester-i-2025-00-3m8tp-g2qln1,"Garuda Indonesia Rugi Rp2,4 Triliun di Semester I-2025",2025-09-27,IDN Times
