link,judul,konten,tanggal,portal,tag
https://kumparan.com/kumparanbisnis/garuda-indonesia-kembali-rupslb-di-tengah-isu-petinggi-singapore-airlines-masuk-25x9SDHX7i5,Garuda Indonesia Kembali RUPSLB di Tengah Isu Petinggi Singapore Airlines Masuk - kumparan.com,"Garuda Indonesia Kembali RUPSLB di Tengah Isu Petinggi Singapore Airlines Masuk
30 September 2025 9:47 WIB
·
waktu baca 2 menitGaruda Indonesia Kembali RUPSLB di Tengah Isu Petinggi Singapore Airlines Masuk
Sebelumnya Garuda Indonesia gelar RUPSLB hingga malam pada Juli lalu. Bulan depan akan rapat lagi di tengah kabar direksi asing masuk jadi dirkeu. kumparanBISNIS
ADVERTISEMENT
PT Garuda Indonesia (Persero) Tbk (GIAA) kembali akan menggelar Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) di tengah ramainya kabar soal kemungkinan bergabungnya salah satu petinggi Singapore Airlines ke jajaran manajemen maskapai pelat merah tersebut. RUPSLB akan diadakan 15 Oktober 2025 di Tangerang.
ADVERTISEMENT
Mengutip Keterbukaan Informasi Bursa Efek Indonesia (BEI), Selasa (30/9), panggilan resmi rapat akan diumumkan pada 1 Oktober 2025 melalui situs web perseroan, BEI, dan sistem eASY.KSEI yang dikelola PT Kustodian Sentral Efek Indonesia (KSEI).
Pemegang saham yang berhak hadir adalah mereka yang tercatat dalam Daftar Pemegang Saham per 30 September 2025 pukul 16.00 WIB, atau yang terdaftar dalam sub-rekening efek KSEI pada penutupan perdagangan di BEI pada tanggal yang sama.
Meski agenda rapat belum diumumkan secara resmi, langkah Garuda ini menjadi sorotan lantaran bertepatan dengan beredarnya isu mengenai masuknya salah satu pimpinan Singapore Airlines untuk menduduki posisi Direktur Keuangan Garuda Indonesia. Kabar tersebut sempat mencuat dan memicu berbagai spekulasi di kalangan industri penerbangan maupun pasar modal.
ADVERTISEMENT
Direktur Niaga Garuda Indonesia, Reza Aulia Hakim, mengatakan perusahaan menyerahkan keputusan formasi jajaran direksi kepada pemegang saham, dalam hal ini pemerintah melalui Danantara. Namun, dia tidak membantah atau membenarkan soal kabar petinggi Singapore Airlines akan masuk dalam jajaran di direksi Garuda Indonesia.
""Kami menyerahkan sepenuhnya kepada pemegang saham. Itu selaku kami tidak bisa menjelaskan,"" kata Reza saat ditemui di kompleks parlemen, Senin (22/9).
Pernyataan tersebut disampaikan Reza untuk menjawab pertanyaan dari Anggota Komisi VI DPR Fraksi PDIP, Mufti Anam, saat Rapat Dengar Pendapat (RDP). Saat RDP tersebut, Reza menjelaskan kursi Direktur Keuangan Garuda Indonesia memang masih kosong setelah Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) akhir Juni 2025 lalu.
""Karena RUPS lalu belum menunjuk pejabat Direktur Keuangan dan Manajemen Risiko, maka tugas-tugas dari Direktur Keuangan dan Manajemen Risiko saat ini dilaksanakan oleh Bapak Direktur Utama dan dibantu oleh pelaksanaan harian, yaitu Bapak Bima Tesdayu,"" ungkap Reza.
ADVERTISEMENT",2025-09-30 00:00:00,Kumparan,Manajemen
https://www.bloombergtechnoz.com/detail-news/85519/garuda-gelar-rupslb-di-tengah-isu-masuknya-direksi-asing,Garuda Gelar RUPSLB di Tengah Isu Masuknya Direksi Asing,"Garuda Gelar RUPSLB di Tengah Isu Masuknya Direksi Asing
Recha Tiara Dermawan
30 September 2025 07:20
Bloomberg Technoz, Jakarta - PT Garuda Indonesia Tbk (GIAA) mengumumkan rencana penyelenggaraan Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) pada 15 Oktober 2025 di Tangerang.
Mengacu pada Peraturan Otoritas Jasa Keuangan (OJK) No. 15/POJK.04/2020 tentang Rencana dan Penyelenggaraan RUPS Perusahaan Terbuka, serta Anggaran Dasar Perseroan, panggilan resmi rapat akan dipublikasikan pada 1 Oktober 2025.
Pengumuman akan disampaikan melalui situs web Garuda Indonesia, situs Bursa Efek Indonesia (BEI), dan sistem eASY.KSEl milik PT Kustodian Sentral Efek Indonesia (KSEI).
Pemegang saham yang berhak hadir dalam rapat adalah mereka yang tercatat dalam Daftar Pemegang Saham (DPS) perseroan hingga 30 September 2025 pukul 16.00 WIB.
Hak yang sama juga berlaku bagi pemegang saham yang namanya tercatat pada subrekening efek di KSEI hingga penutupan perdagangan saham Garuda Indonesia di BEI pada tanggal yang sama.",2025-09-29 00:00:00,Bloomberg Technoz,Manajemen
https://voi.id/ekonomi/519004/komisi-v-dpr-bakal-dalami-dugaan-mafia-jual-beli-jam-penerbangan,Komisi V DPR Bakal Dalami Dugaan Mafia Jual Beli Jam Penerbangan,"JAKARTA - Ketua Komisi V DPR Lasarus mengatakan mendalami laporan dugaan adanya mafia jual beli jam penerbangan di industri aviasi Tanah Air dalam rapat mendatang dengan Kementerian Perhubungan serta maskapai.
Pernyataan tersebut menanggapi kabar dugaan adanya mafia jual beli jam penerbangan. Kecurigaan adanya mafia ini, berawal dari tidak adanya penerbangan Garuda Indonesia di jam-jam favorit. Begitu juga dengan anak usaha Garuda Indonesia, Citilink Indonesia.
“Iya kita coba tanya, kita bahas lah. Kalau benar nanti kita dalami. Ini kan informasi yang bagus,” katanya kepada VOI, Senin, 29 September.
Meski begitu, Lasarus mengaku maskapai Garuda Indonesia selama ini juga tidak pernah mengeluhkan terkait jam penerbangan atau slot time yang diberikan kepada maskapai tersebut.
Adapun slot time adalah jadwal resmi yang diberikan otoritas bandara kepada maskapai untuk melakukan take-off atau landingdi bandara tertentu.
“Makanya saya masih mau cek dulu. Omongan ini apakah berangkat dari data. Karena Garuda sendiri enggak pernah ngeluh sama kita,” ucapnya.
Terkait dengan slot time, sambung Lasarus, sudah diatur oleh otoritas yang berwenang dalam hal ini Direktorat Jenderal Perhubungan Udara Kementerian Perhubungan. Jumlah slot time yang didapat juga berbeda-beda, tergantung dari berapa armada yang dimiliki maskapai tersebut.
“Biasanya kan sudah diatur. Misalnya gini, pesawat itu kan tidak semua maskapai jumlah pesawatnya sama. Untuk dibagi rata kan tidak mungkin,” jelasnya.
Sebelumnya, Anggota Komisi VI DPR Fraksi PDI-Perjuangan Mufti Anam mengungkap dugaan adanya mafia jual beli jam penerbangan dalam bisnis aviasi di Indonesia.
Bahkan, sambung Mufti, jam penerbangan bisa diperjualbelikan dengan harga yang cukup fantastis mencapai miliaran rupiah.
“Ini betul enggak ada mafia soal jam terbang ini? katanya harganya miliaran rupiah, kalau ada kami minta penegak hukum mengusut soal hal ini,” ujarnya Rapat Dengar Pendapat antara Komisi VI dan Garuda Indonesia, InJourney Airports, dan IAS, Senin, 22 September.
Kecurigaan adanya mafia jual beli jam penerbangan ini, sambung Mufti, berawal dari tidak adanya penerbangan Garuda Indonesia di jam-jam favorit. Begitu juga dengan anak usaha Garuda Indonesia, Citilink Indonesia.
“Saya sempat ngobrol dengan teman-teman komisi V, katanya jam-jam penerbangan diperjual belikan. Betul enggak pak? Kami minta Bapak jawab di tempat, jangan takut-takut pak. Kita akan bantu Bapak bagaimana Garuda bisa punya jam idle gitu,” tuturnya.
Sekadar informasi, jam idle penerbangan biasanya merujuk pada waktu pesawat tidak beroperasi atau menunggu di darat antara penerbangan. Kondisi ini lebih sering disebut trunaround atau waktu berhenti terbang.
“Karena ternyata jam-jam idle itu dikuasai oleh penerbangan swasta. Bahkan jam-jam tertentu karena idle banget itu ada penerbangan yang jaraknya hanya 30 menit dan kalau kosong itu dijadikan hanya satu penerbangan,” ucapnya.
Mufti bilang akibat penggabungan itu, banyak penumpang pesawat yang terdampak delay atau penundaan penerbangan.
“Akhirnya berdampak kepada penumpang harus delay dan sebagainya,” katanya.",2025-09-29 00:00:00,VOI.ID,Rute/Operasional
https://in.investing.com/news/company-news/garuda-indonesia-adds-air-cargo-capacity-to-webcargo-platform-93CH-5023129,Garuda Indonesia adds air cargo capacity to WebCargo platform,,2025-09-29 00:00:00,Investing.com India,Lainnya
https://www.kompasiana.com/zainularifin2714/68da927c34777c0ef3200e93/rencana-merger-garuda-indonesia-pelita-air-efektifkah,Rencana Merger Garuda Indonesia - Pelita Air: Efektifkah? - Kompasiana.com,"Latar Belakang
Pada pertengahan 2023, wacana konsolidasi maskapai milik pemerintah mulai bergulir. Menteri BUMN saat itu, Erick Thohir, menegaskan bahwa kementeriannya menyiapkan rencana penggabungan tiga maskapai plat merah -- Garuda Indonesia, anak usahanya Citilink, serta Pelita Air yang berada di bawah Pertamina. Tujuan utama konsolidasi adalah efisiensi: penggabungan sumber daya diharapkan menekan biaya operasional, memperkuat permodalan dan menekan biaya pinjaman. Roadmap ini menargetkan aksi korporasi selesai sebelum akhir 2025 dengan koordinasi holding investasi baru, Badan Pengelola Investasi Daya Anagata Nusantara (Danantara).
Isu ini kembali memanas pada September 2025 saat CEO Pertamina Simon Aloysius Mantiri mengumumkan rencana spinoff sejumlah anak usaha termasuk Pelita Air. Ia menjelaskan bahwa spinoff Pelita akan dilakukan di bawah Danantara dan ""maskapai berpelat merah dengan lini bisnis sejenis bakal digabungkan"", termasuk Pelita dengan Garuda. Pertamina, katanya, ingin fokus pada bisnis inti minyak, gas, dan energi terbarukan.
Direktur Utama Garuda Indonesia, Wamildan Tsani Pandjaitan, menanggapi isu ini secara hatihati. Ia mengatakan bahwa wacana konsolidasi masih dalam tahap awal penjajakan dan perseroan terus berkoordinasi dengan para pemangku kepentingan. Di sisi lain, Menhub Dudy Purwagandhi menyerahkan urusan merger kepada Pertamina tetapi berharap tidak ada PHK dalam proses tersebut.
Kinerja Dua Maskapai yang Kontras
Di balik wacana merger, kondisi Garuda Indonesia dan Pelita Air sangat berbeda. Garuda masih bergulat dengan warisan utang dan kerugian. Laporan keuangan Semester I 2025 menunjukkan Garuda merugi USD142,8 juta atau sekitar Rp2,3 triliun -- membengkak dibanding kerugian Rp 1,6 triliun pada periode yang sama tahun lalu. Pendapatannya juga menurun dari Rp26,6 triliun menjadi Rp 24,9 triliun, sementara total liabilitasnya mencapai Rp133,2 triliun. Garuda berusaha bangkit melalui restrukturisasi utang dan menambah armada; mereka telah menambah lima pesawat baru dan mengoperasikan 78 armada, namun program pemulihan pascapandemi masih berjalan.
Sebaliknya, Pelita Air -- yang semula fokus sebagai maskapai charter -- mulai memasuki penerbangan berjadwal pada 2022/2023 dan menunjukkan kinerja positif. Laporan RUPS 2024 menyebut pendapatan Pelita naik 81 % dibanding 2023 dan berhasil meraih laba setelah pajak USD5,9 juta, dengan EBITDA melonjak lebih dari 580 % . Peringkat kredit PEFINDO untuk Pelita ditingkatkan menjadi idBBB+ dengan outlook stabil . Dari sisi operasional, Pelita mencatat OnTime Performance (OTP) 94,3 % pada 2024, tertinggi di Indonesia -- dan seat load factor ratarata 80,7 % . Maskapai ini memperluas jaringan dengan membuka lima rute domestik baru sehingga total rute mencapai 16.
Perbedaan performa inilah yang membuat banyak pihak sangsi bahwa penggabungan adalah solusi. Direktur Next Indonesia Center Herry Gunawan menilai konsolidasi tak akan menyelesaikan masalah Garuda; justru Pertamina bisa terseret beban Garuda. Menurut dia, Garuda rugi US\$ 142,8 juta pada semester I 2025 sementara aset Pelita hanya US\$ 101,5 juta -- terlalu kecil untuk menanggung beban Garuda.
Perspektif Para Pendukung Merger
Pendukung penggabungan menekankan kebutuhan efisiensi dan skala. Chief Operating Officer Danantara Dony Oskaria menjelaskan bahwa pemerintah ingin mengurangi jumlah BUMN yang bergerak di sektor sama. Menurutnya, ke depan maskapai pelat merah akan menjadi satu ""industri airlines"", seperti halnya industri migas akan berada di bawah Pertamina . Danantara berencana merestrukturisasi portofolio BUMN agar masingmasing perusahaan fokus pada kompetensi inti. Dony menilai masukan publik -- pro maupun kontra -- penting untuk menyiapkan roadmap konsolidasi.
Lihat Financial Selengkapnya",2025-09-29 00:00:00,Kompasiana.com,Lainnya
https://www.cnnindonesia.com/ekonomi/20250929205715-92-1279029/dony-oskaria-pastikan-merger-pelita-air-garuda-untunge,Dony Oskaria Pastikan Merger Pelita Air-Garuda Untunge,"--
Plt Menteri Badan Usaha Milik Negara (BUMN) sekaligus COO Badan Pengelola Investasi (BPI) Danantara Indonesia Dony Oskaria menanggapi pandangan anggota Komisi VI DPR RI Mufti Anam yang mengkritisi rencana penggabungan Pelita Air dengan Garuda Indonesia.
Ia memastikan proses merger tersebut tidak akan merugikan, terutama bagi Pelita Air yang saat ini mendapat apresiasi positif dari publik.
""Saya rasa bukan penolakan tetapi kita menghargai. Seperti saya sampaikan bahwa tentu pasti mereka sayang sama airlines-airlines kita, teman-teman saudara-saudara kita dan para bapak-bapak yang kita hormati juga kan memberikan masukan sebetulnya,"" ujar Dony di Kementerian Koordinator Bidang Pangan, Jakarta Pusat, Senin (29/9).
ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Menurutnya, masukan yang disampaikan Mufti Anam bukanlah bentuk penolakan, melainkan peringatan agar merger tidak berdampak negatif terhadap Pelita Air.
""Mereka tidak ingin nanti justru akan membuat Pelita-nya jadi jelek. Ini suatu warning buat kita. Jadi jangan selalu dilihat penolakan. Ingat-ingat, jangan sampai nanti malah merger ini membawa Pelita-nya juga jadi jelek. Sebetulnya itu yang disampaikan oleh Komisi VI,"" ujarnya.
Dony memastikan pihaknya mencatat betul kekhawatiran tersebut sebagai bahan pertimbangan dalam proses merger.
""Ini menjadi catatan bagi kami supaya dalam proses ini nanti tidak kemudian membuat Pelita-nya menjadi jelek, tapi justru kita harapkan jadi lebih bagus,"" ucapnya.
Sebelumnya, anggota Komisi VI DPR RI Mufti Anam dalam rapat bersama Direksi Garuda Indonesia pada Senin (22/9) menyatakan ketidaksetujuannya terhadap rencana merger.
Ia menilai Pelita Air sudah berkembang dengan baik dan menjadi alternatif penerbangan yang dapat diandalkan.
""Soal Pelita Air yang mau digabungkan dengan Garuda, saya sangat tidak setuju atas hal ini, Pak. Kami, jujur ketika terdesak, ketika saya sudah tidak percaya lagi ke Garuda, kemarin saya naik Pelita Air, tepat waktu juga ternyata, luar biasa,"" kata Mufti.
Ia bahkan menyebut pelayanan Pelita Air bersih, tepat waktu, dan bebas dari beban finansial yang sebelumnya ditanggung induknya, Pertamina.
""Maka saya tidak mau Garuda untuk kemudian membajak Pelita Air yang sudah bagus jadi maskapai kebanggaan kita, kemudian akhirnya rusak gara-gara kena virus budaya kerja di Garuda Indonesia yang amburadul, begitu Pak,"" ujarnya.
Rencana merger Pelita Air dengan Garuda Indonesia juga sudah disampaikan Direktur Utama Pertamina Simon Aloysius dalam rapat kerja dengan Komisi VI DPR RI pada 11 September lalu.
Simon mengatakan penggabungan unit bisnis ini sedang dijajaki di bawah koordinasi BPI Danantara, sejalan dengan strategi Pertamina yang akan fokus pada bisnis inti di sektor minyak dan gas.
Eks Menteri BUMN Erick Thohir sebelumnya juga menyebut rencana merger tersebut masih dalam tahap kajian.
Menurut Erick, langkah ini penting karena Indonesia masih kekurangan armada penerbangan, sementara kedua maskapai memiliki segmen pasar yang berbeda.
[Gambas:Video CNN]",2025-09-29 00:00:00,CNN Indonesia,Lainnya
https://jambi.pikiran-rakyat.com/info-data/pr-3469681375/jadwal-kedatangan-pesawat-di-bandara-sultan-thaha-jambi?page=all,Jadwal Kedatangan Pesawat di Bandara Sultan Thaha Jambi - Jambian,,2025-09-29 00:00:00,Jambian,Lainnya
https://www.idntimes.com/business/economy/danantara-janji-layanan-pelita-tak-menurun-usai-merger-dengan-garuda-00-3m8tp-gl0jb6,Danantara Janji Layanan Pelita Tak Menurun usai Merger dengan Garuda,"Jakarta, IDN Times - Plt Menteri BUMN sekaligus Chief Operating Officer (COO), Dony Oskaria memastikan rencana konsolidasi Pelita Air Service dengan Garuda Indonesia akan dilanjutkan.
Adapun konsolidasi itu masuk dalam rencana kerja PT Danantara Asset Management (DAM) pada tahun ini, bersamaan dengan konsolidasi BUMN lainnya yang memiliki lini bisnis serupa.
""Jadi intinya kita di Danantara akan melakukan proses perbaikan semua perusahaan kita. Jadi ya perusahaan-perusahaan sejenis terutama sekali akan kita lakukan konsolidasi supaya mereka memiliki daya saing,"" kata Dony di kantor Kemenko Pangan, Jakarta, Senin (29/9/2025).",2025-09-29 00:00:00,IDN Times,Lainnya
https://id.headtopics.com/news/garuda-spark-innovation-hub-dinilai-bantu-kembangkan-start-73612181,Garuda Spark Innovation Hub dinilai bantu kembangkan start up digital,"Menteri Komunikasi dan Digital Meutya Hafid mengatakan kehadiran Garuda Spark Innovation Hub di Bandung, Jawa Barat akan membantu anak-anak muda untuk ...
Sabtu, 27 September 2025 22:44 WIBMenteri Komunikasi dan Digital Meutya Hafid memberikan sambutan dalam peluncuran Garuda Spark Innovation Hub di BLOCK71, Bandung, Sabtu . Bandung - Menteri Komunikasi dan Digital Meutya Hafid mengatakan kehadiran Garuda Spark Innovation Hub di Bandung, Jawa Barat akan membantu anak-anak muda untuk mengembangkan inovasi digital.
“Hari ini kita membuat sejarah baru dengan melahirkan Innovation Hub pertama dari Kementerian Komunikasi dan Digital bekerja sama dengan paradari Kemkomdigi untuk menjadi cikal bakal kemajuan transformasi digital di tanah air,"" kata Meutya dalam sambutannya di Bandung, Jawa Barat, Sabtu. Peresmian Garuda Spark di Bandung dipilih karena sejak lama dikenal sebagai pusat kreativitas, pendidikan, dan teknologi. Peluncurannya juga bertepatan dengan Hari Bhakti Postel ke-80, menjadikannya momen simbolis untuk menegaskan komitmen Indonesia mempercepat transformasi digital.Meutya menilai Bandung sebagai sebuah kota dengan identitas kuat, pusat kreativitas, pendidikan, dan teknologi.Innovation Hub itu menjadi ruang berkumpul, berdiskusi, dan berkolaborasi bagi pelakudigital. Fasilitas yang tersedia antara lain ruang rapat, ruang kelas, internet berkecepatan tinggi, serta akses jejaring dengan mentor, investor, dan komunitas teknologi. Meutya berharap“Garuda Spark Innovation Hub dapat menjadi ruang berkumpul dan berdiskusi untuk melahirkan inovasi melalui start up-start up baru di bidang digital,” kata dia. Keberadaan hub inovasi itu juga diharapkan dapat mendorong industri start up di Indonesia sempat mengalami penurunan. Meutya Hafid juga berharap para pelaku usaha dapat memiliki kantor di berbagai macam negara dan membantu usaha yang baru saja mulai merintis.-nya bisa lebih masuk, tidak hanya dari dari kami, tapi juga dari macam negara,"" kata Meutya. Direktur Jenderal Ekosistem Digital Kemkomdigi Edwin Hidayat Abdullah menyatakan konsep pengembangan inovasi akan berangkat dari potensi serta demografi di wilayah anak muda masing-masing. Dengan demikian, segala ide yang tercipta tidak terpusat pada satu hal saja. Garuda Spark Innovation Hub diharapkan mampu mengubah ide sederhana menjadi solusi nyata yang berdampak bagi masyarakat melalui penerapan prinsipAcara peluncuran juga dihadiri oleh jajaran pejabat dari Kementerian Komunikasi dan Digital seperti Wakil Menteri Nezar Patria, Sekretaris Jenderal Ismail, Dirjen Pengawasan Ruang Digital Alexander Sabar. Hadir pula Kepala BPSDM Komdigi Bonifasius Wahyu Pudjianto, Wali Kota Bandung Muhammad Farhan, serta perwakilan operator seluler dan komunitas teknologi. Garuda Spark Innovation Hub Kota Bandung bekerja sama dengan BLOCK71 dan Innovation Factory Indonesia. Innovation Hub serupa dikatakannya akan hadir di kota-kota lain untuk menjaring kreativitas generasi muda di seluruh Indonesia.
Indonesia Berita Terbaru, Indonesia Berita utama
Similar News:Anda juga dapat membaca berita serupa dengan ini yang kami kumpulkan dari sumber berita lain.
Hari Ini dalam Sejarah: Pesawat Garuda Jatuh di Deli Serdang, 234 Orang Meninggal26 September 1997, pesawat Garuda GA 152 jatuh di Deli Serdang. Sebanyak 234 orang meninggal, tragedi ini jadi catatan kelam penerbangan Indonesia.
Baca lebih lajut »
Brawijaya Hospital Bakal Beroperasi di Travoy Hub Akhir OktoberBrawijaya Hospital akan beroperasi di kawasan Toll Corridor Development (TCD) Taman Mini atau Travoy Hub pada akhir Oktober 2025.
Baca lebih lajut »
Tragedi GA 152: Kecelakaan Pesawat Garuda Indonesia di Medan 1997Kecelakaan pesawat Garuda Indonesia Airbus A300-B4 rute Jakarta-Medan pada 26 September 1997 menewaskan 234 orang. Laporan saksi mata dan kronologi kejadian diulas.
Baca lebih lajut »
Tragedi Garuda Indonesia GA152: Catatan Kelam Sejarah Penerbangan IndonesiaInsiden jatuhnya pesawat Garuda Indonesia GA152 pada 26 September 1997 dalam perjalanan dari Jakarta ke Medan, menewaskan 234 orang. Saksi mata menceritakan detik-detik tragedi yang menjadi salah satu kecelakaan penerbangan terburuk di Indonesia.
Baca lebih lajut »
Jakarta Innovation Days 2025: Dorong Inovasi dan Ekonomi Kreatif di JakartaKementerian Ekonomi Kreatif dan Pemprov DKI Jakarta meluncurkan Jakarta Innovation Days (JID) 2025, sebuah festival yang bertujuan memperkuat posisi Jakarta sebagai kota global melalui inovasi dan ekonomi kreatif. Acara yang berlokasi di Dukuh Atas ini akan menjadi ruang publik kreatif bagi generasi muda.
Baca lebih lajut »
Apartemen Bakal Dibangun Dekat Travoy Hub, Terhubung dengan JembatanApartemen akan dibangun di kawasan Toll Corridor Development (TCD) Taman Mini atau Travoy Hub, Jakarta, Kamis (25/9/2025).
Baca lebih lajut »",2025-09-28 00:00:00,Head Topics,Lainnya
https://www.beritasatu.com/network/malukuterkini/685642/sempat-dialihkan-ke-sorong-garuda-akhirnya-mendarat-di-ambon,"Sempat Dialihkan ke Sorong, Garuda Akhirnya Mendarat di Ambon",,2025-09-28 00:00:00,BeritaSatu.com,Lainnya
